nama makanan,kalori,protein,karbohidrat,lemak
Ayam Geprek,263,17.61,7.6,18
Ayam Goreng,260,21.93,10.76,14.55
Bakso,283,17.37,10.61,18.43
Bika Ambon,308,5,50,10
Bubur Ayam,155,11.48,15.05,5.16
Burger,342,13,39,16
Dadar Gulung,200,4,32,7
Gado Gado,318,17.22,26.28,17.86
Getuk Lindri,120,2,28,1
Ikan Gurame Bakar,151,24,1,4
Ikan Mujair Bakar,145,20,0,6
Kentang Goreng,274,3.48,35.66,14
Kerak telor,180,7,23,7
Klepon,212,2,35,6
Kue Lapis,185,3,38,3
Kue Sagu,312,1,58,10
Lemper Ayam,225,7,30,7
Martabak Manis,360,6,50,15
Mie Goreng,350,8,52,12
Nasi Gandul,250,10,30,10
Nasi Goreng,230,7,22,13
Nasi Kuning,250,43,49,12
Nasi Padang,664,38,62,15
Pempek,195,12.61,23.58,5.2
Pizza,276,11.74,30.33,7
Rawon,288,23.13,8.38,17.84
Rendang,195,19.68,4.5,11
Roti Bakar,307,12.84,35,5.62
Sate,225,19.54,4.87,14.82
Sate Usus,224,17,2,16
Serabi,108,1.59,21.05,1.8
Soto,436,20.27,23,29.18
Tahu Goreng,271,17.19,10.49,20.18